backend,spec,run_idx,elapsed_ns,gen_lines
zig,fault_detection,1,1891977,193
zig,fault_detection,2,1815816,193
zig,fault_detection,3,1778091,193
zig,fault_detection,4,1851520,193
zig,lite_crypto,0,1636657,86
zig,lite_crypto,1,1601454,86
zig,lite_crypto,2,1618487,86
zig,lite_crypto,3,1591837,86
zig,lite_crypto,4,1569754,86
zig,network_metrics,0,1490651,63
zig,network_metrics,1,1508536,63
zig,network_metrics,2,1469036,63
zig,network_metrics,3,1470407,63
zig,network_metrics,4,1598339,63
zig,m3_multihop,0,1549955,43
zig,m3_multihop,1,1520802,43
zig,m3_multihop,2,1501630,43
zig,m3_multihop,3,1610754,43
zig,m3_multihop,4,1549137,43
zig,link_statistics,0,1585090,46
zig,link_statistics,1,1750498,46
zig,link_statistics,2,1517408,46
zig,link_statistics,3,1482340,46
zig,link_statistics,4,1475057,46
zig,access_control,0,1819835,162
zig,access_control,1,1787805,162
zig,access_control,2,1733434,162
zig,access_control,3,1852373,162
zig,access_control,4,1726150,162
zig,bandwidth_allocator,0,2034432,245
zig,bandwidth_allocator,1,2060701,245
zig,bandwidth_allocator,2,2042133,245
zig,bandwidth_allocator,3,2038941,245
zig,bandwidth_allocator,4,2001892,245
zig,cache_management,0,1828601,191
zig,cache_management,1,1770559,191
zig,cache_management,2,1764681,191
zig,cache_management,3,1792164,191
zig,cache_management,4,1839489,191
zig,compression_engine,0,1880670,200
zig,compression_engine,1,1756273,200
zig,compression_engine,2,1804422,200
zig,compression_engine,3,1730383,200
zig,compression_engine,4,1816607,200
zig,cross_layer_optimizer,0,1932338,189
zig,cross_layer_optimizer,1,1915134,189
zig,cross_layer_optimizer,2,1912446,189
zig,cross_layer_optimizer,3,1910776,189
zig,cross_layer_optimizer,4,1901407,189
zig,energy_aware_routing,0,1897702,217
zig,energy_aware_routing,1,1988871,217
zig,energy_aware_routing,2,1841973,217
zig,energy_aware_routing,3,1925192,217
zig,energy_aware_routing,4,1888847,217
zig,adaptive_retry,0,1473448,27
zig,adaptive_retry,1,1474678,27
zig,adaptive_retry,2,1456120,27
zig,adaptive_retry,3,1452636,27
zig,adaptive_retry,4,1436511,27
zig,link_quality_monitor,0,1463137,29
zig,link_quality_monitor,1,1552060,29
zig,link_quality_monitor,2,1592017,29
zig,link_quality_monitor,3,1509739,29
zig,link_quality_monitor,4,1541258,29
zig,multipath_router,0,1514490,22
zig,multipath_router,1,1518550,22
zig,multipath_router,2,1446748,22
zig,multipath_router,3,1461229,22
zig,multipath_router,4,1449298,22
zig,auto_config,0,1864375,238
zig,auto_config,1,1818354,238
zig,auto_config,2,1857414,238
zig,auto_config,3,1920118,238
zig,auto_config,4,2020032,238
zig,adaptive_routing,0,1907092,189
zig,adaptive_routing,1,1830828,189
zig,adaptive_routing,2,1872926,189
zig,adaptive_routing,3,1826133,189
zig,adaptive_routing,4,1869190,189
zig,anomaly_detector,0,1808407,235
zig,anomaly_detector,1,1841341,235
zig,anomaly_detector,2,1797898,235
zig,anomaly_detector,3,1832457,235
zig,anomaly_detector,4,1791978,235
zig,api_documenter,0,1897305,185
zig,api_documenter,1,1952117,185
zig,api_documenter,2,1893418,185
zig,api_documenter,3,1911894,185
zig,api_documenter,4,1910996,185
zig,area_optimization,0,1681770,169
zig,area_optimization,1,1772103,169
zig,area_optimization,2,1716015,169
zig,area_optimization,3,1712995,169
zig,area_optimization,4,1707321,169
zig,docs_generator,0,2098856,218
zig,docs_generator,1,1997530,218
zig,docs_generator,2,1977567,218
zig,docs_generator,3,1996175,218
zig,docs_generator,4,2019179,218
zig,fpga_synthesis_report,0,1709564,130
zig,fpga_synthesis_report,1,1637715,130
zig,fpga_synthesis_report,2,1631341,130
zig,fpga_synthesis_report,3,1723667,130
zig,fpga_synthesis_report,4,1640456,130
zig,health_dashboard,0,1886406,223
zig,health_dashboard,1,1918907,223
zig,health_dashboard,2,1853482,223
zig,health_dashboard,3,1908350,223
zig,health_dashboard,4,1917882,223
zig,health_monitoring,0,2171662,299
zig,health_monitoring,1,2148778,299
zig,health_monitoring,2,2143738,299
zig,health_monitoring,3,2283265,299
zig,health_monitoring,4,2148264,299
zig,integration_tests,0,1684797,127
zig,integration_tests,1,1767284,127
zig,integration_tests,2,1714779,127
zig,integration_tests,3,1727983,127
zig,integration_tests,4,1750736,127
zig,load_predictor,0,1761284,188
zig,load_predictor,1,1751108,188
zig,load_predictor,2,2497400,188
zig,load_predictor,3,1805302,188
zig,load_predictor,4,1833948,188
zig,local_processing,0,1820328,183
zig,local_processing,1,1805387,183
zig,local_processing,2,1854188,183
zig,local_processing,3,1784024,183
zig,local_processing,4,1776623,183
zig,mesh_node_sim,0,1753056,106
zig,mesh_node_sim,1,1699090,106
zig,mesh_node_sim,2,1677602,106
zig,mesh_node_sim,3,1682523,106
zig,mesh_node_sim,4,1686052,106
zig,mesh_protocol_stack,0,1750244,169
zig,mesh_protocol_stack,1,1752183,169
zig,mesh_protocol_stack,2,1729999,169
zig,mesh_protocol_stack,3,1752929,169
zig,mesh_protocol_stack,4,1771622,169
zig,multipath_routing,0,1987083,239
zig,multipath_routing,1,1985093,239
zig,multipath_routing,2,2072580,239
zig,multipath_routing,3,1958517,239
zig,multipath_routing,4,1974753,239
zig,network_coding,0,1824869,172
zig,network_coding,1,1794669,172
zig,network_coding,2,1814608,172
zig,network_coding,3,1814563,172
zig,network_coding,4,1919030,172
zig,network_orchestrator,0,1860874,216
zig,network_orchestrator,1,1859734,216
zig,network_orchestrator,2,2844523,216
zig,network_orchestrator,3,1889343,216
zig,network_orchestrator,4,1848112,216
zig,network_simulator,0,1994925,199
zig,network_simulator,1,1975415,199
zig,network_simulator,2,1926603,199
zig,network_simulator,3,1879728,199
zig,network_simulator,4,1943390,199
zig,olsr_routing,0,1819017,162
zig,olsr_routing,1,1838597,162
zig,olsr_routing,2,1892786,162
zig,olsr_routing,3,1881340,162
zig,olsr_routing,4,1877359,162
zig,pattern_predictor,0,2085812,217
zig,pattern_predictor,1,2130737,217
zig,pattern_predictor,2,2055520,217
zig,pattern_predictor,3,2044554,217
zig,pattern_predictor,4,2058530,217
zig,performance_benchmarks,0,1699329,156
zig,performance_benchmarks,1,1672749,156
zig,performance_benchmarks,2,1678627,156
zig,performance_benchmarks,3,1679415,156
zig,performance_benchmarks,4,1642057,156
zig,performance_profiler,0,2083183,208
zig,performance_profiler,1,2033354,208
zig,performance_profiler,2,1921714,208
zig,performance_profiler,3,1920419,208
zig,performance_profiler,4,1938312,208
zig,power_monitoring,0,1811554,170
zig,power_monitoring,1,1762405,170
zig,power_monitoring,2,1736586,170
zig,power_monitoring,3,1851625,170
zig,power_monitoring,4,1858835,170
zig,production_deployment,0,1742235,140
zig,production_deployment,1,1729264,140
zig,production_deployment,2,1684747,140
zig,production_deployment,3,1805497,140
zig,production_deployment,4,1735758,140
zig,production_scenarios,0,1731822,160
zig,production_scenarios,1,1819198,160
zig,production_scenarios,2,1732784,160
zig,production_scenarios,3,1695152,160
zig,production_scenarios,4,1724257,160
zig,quarantine_manager,0,1846049,194
zig,quarantine_manager,1,1779634,194
zig,quarantine_manager,2,1798761,194
zig,quarantine_manager,3,1817640,194
zig,quarantine_manager,4,1838458,194
zig,resource_scheduler,0,2042626,271
zig,resource_scheduler,1,2029678,271
zig,resource_scheduler,2,2093885,271
zig,resource_scheduler,3,2006045,271
zig,resource_scheduler,4,2057604,271
zig,swarm_coordinator,0,2001918,185
zig,swarm_coordinator,1,1956691,185
zig,swarm_coordinator,2,1955946,185
zig,swarm_coordinator,3,1937034,185
zig,swarm_coordinator,4,1961814,185
zig,test_framework,0,1932336,249
zig,test_framework,1,1906108,249
zig,test_framework,2,1988324,249
zig,test_framework,3,1947300,249
zig,test_framework,4,1987642,249
zig,timing_closure,0,1694179,157
